Ocs_Code,NHSD_trust_or_CCG
TAK,1
5A7,1
5A8,1
RJ1,1
RJZ,1
5LD,1
RJ2,1
5LF,1
RRU,1
07N,1
07Q,1
08A,1
08K,1
08L,1
72Q,1
QKK,1
08Q,1
RPG,1
RV5,1
RYQ,1
5LE,1
5C2,1
RF4,1
RNJ,1
R1H,1
5C3,1
RWK,1
5A4,1
RQX,1
5C5,1
RNH,1
07L,1
07T,1
08F,1
08M,1
A3A8R,1
QMF,1
08N,1
08V,1
08W,1
RAT,1
5NA,1
5C4,1
5NC,1
RGC,1
RVL,1
5A9,1
RRP,1
TAF,1
5K7,1
RV3,1
5C1,1
RP4,1
5C9,1
5K8,1
RP6,1
07M,1
07R,1
07X,1
08D,1
08H,1
93C,1
QMJ,1
RAP,1
RAL,1
RNK,1
RRV,1
RKE,1
5K5,1
RYX,1
RQM,1
RC3,1
5HX,1
5H1,1
5K6,1
RAS,1
5AT,1
5HY,1
RYJ,1
5LA,1
R1K,1
07P,1
09A,1
07W,1
08C,1
08E,1
08G,1
07Y,1
W2U3Z,1
QRV,1
08Y,1
RV8,1
RT3,1
RPY,1
RAN,1
RKL,1
RFW,1
5LC,1
RJ6,1
5K9,1
RVR,1
RY9,1
RAX,1
5A5,1
07V,1
08J,1
08R,1
08P,1
36L,1
QWE,1
08T,1
08X,1
5M6,1
RQY,1
RJ7,1
5M7,1
5LG,1
RWV,1
5QQ,1
RX5,1
15N,1
QJK,1
99P,1
99Q,1
RBZ,1
5F1,1
RH8,1
RYF,1
RA9,1
R1G,1
TAL,1
RK9,1
RVN,1
5FL,1
RN3,1
11E,1
92G,1
QOX,1
12D,1
99N,1
RBB,1
RD1,1
RNZ,1
5K3,1
5QK,1
R1J,1
RTQ,1
RTE,1
5QH,1
11M,1
QR1,1
11X,1
QSL,1
RH5,1
5QL,1
RBA,1
RA4,1
5QP,1
RJ8,1
QT6,1
11N,1
REF,1
5QJ,1
11H,1
15C,1
QUY,1
11T,1
12A,1
RVJ,1
5M8,1
5A3,1
RA7,1
RA3,1
5QN,1
RBD,1
RDY,1
5QM,1
11J,1
QVV,1
RD3,1
RDZ,1
R0D,1
RN7,1
RVV,1
5QA,1
RXY,1
RYY,1
RWF,1
RPA,1
5L3,1
09C,1
09E,1
09J,1
91Q,1
QKS,1
09W,1
10A,1
10D,1
10E,1
99J,1
5P9,1
5QG,1
RWX,1
RDU,1
RD7,1
10G,1
15D,1
D4U1Y,1
QNQ,1
99M,1
10T,1
10C,1
11C,1
5LQ,1
RXH,1
5P7,1
RXC,1
5P8,1
09D,1
09G,1
09H,1
09L,1
97R,1
09F,1
09P,1
99K,1
09X,1
QNX,1
70F,1
RPC,1
RYD,1
RDR,1
RX2,1
RYR,1
5P6,1
RN5,1
5QC,1
5QT,1
R1F,1
10K,1
QRL,1
D9Y0V,1
10L,1
10J,1
10R,1
10V,1
10X,1
11A,1
5FE,1
RHU,1
R1C,1
5L1,1
RW1,1
RHM,1
RN1,1
5QF,1
RXQ,1
5QD,1
10Y,1
15A,1
14Y,1
QU9,1
10H,1
10M,1
10N,1
10Q,1
10W,1
11D,1
RBF,1
RNU,1
RTH,1
RHX,1
5QE,1
RHW,1
RYE,1
RTK,1
09N,1
09Y,1
99H,1
92A,1
QXU,1
RA2,1
RXX,1
RTP,1
5P5,1
R1A,1
5CN,1
18C,1
QGH,1
05F,1
05J,1
05T,1
06D,1
RWP,1
RWQ,1
5PL,1
RLQ,1
RXT,1
RYW,1
5PG,1
RQ3,1
RLU,1
5MX,1
RR1,1
15E,1
QHL,1
13P,1
04X,1
05P,1
RRJ,1
RXK,1
TAM,1
5QW,1
5M1,1
RRK,1
RFS,1
5N7,1
RY8,1
5N6,1
RXM,1
15M,1
QJ2,1
03X,1
03Y,1
04J,1
04R,1
RTG,1
RY5,1
RP7,1
5N9,1
71E,1
03T,1
QJM,1
04D,1
99D,1
04Q,1
RWD,1
5PC,1
5PA,1
RT5,1
03W,1
04C,1
QK1,1
04V,1
RWE,1
RJF,1
RJD,1
RRE,1
04Y,1
05D,1
05G,1
05Q,1
05V,1
QNC,1
05W,1
RLY,1
5PH,1
5PK,1
R1E,1
5PJ,1
RJE,1
05N,1
M2L0M,1
QOC,1
05X,1
RL1,1
RXW,1
R1D,1
5M2,1
5MK,1
RNQ,1
03V,1
04G,1
78H,1
QPM,1
RNS,1
RP1,1
5PD,1
5ET,1
RX9,1
02Q,1
04E,1
04H,1
52R,1
QT1,1
04K,1
04L,1
04M,1
04N,1
5EM,1
RX1,1
5N8,1
RHA,1
RK5,1
TAJ,1
RYK-X,1
RNA,1
RYK,1
5PE,1
D2P2L,1
QUA,1
05C,1
05L,1
05Y,1
06A,1
RL4,1
5PF,1
RBK,1
5M3,1
RYA,1
5MV,1
RYG,1
5MD,1
RLT,1
05A,1
B2M3M,1
QWU,1
05R,1
05H,1
RJC,1
RKB,1
5PM,1
RDD,1
R1L,1
RAJ,1
RQ8,1
5PX,1
99E,1
99F,1
QH8,1
06Q,1
99G,1
07G,1
5P1,1
RWN,1
5PY,1
RC1,1
RV7,1
RC9,1
5P2,1
5GC,1
5CQ,1
RD8,1
06F,1
M1J4Y,1
QHG,1
06P,1
04F,1
RDE,1
RGQ,1
06T,1
QJG,1
07K,1
5PW,1
RRD,1
RT6,1
5PT,1
RGR,1
RWH,1
5P3,1
RY4,1
RWR,1
5QV,1
06K,1
QM7,1
06N,1
07H,1
RQW,1
5PV,1
5P4,1
RWG,1
5PR,1
RGP,1
06M,1
26A,1
QMM,1
06V,1
06W,1
06Y,1
07J,1
RM1,1
RMY,1
RY3,1
5PQ,1
RCX,1
RGT,1
RT1,1
RYV,1
5PP,1
RYC,1
RQQ,1
06H,1
QUE,1
RGN,1
5PN,1
RGM,1
5CC,1
TAP,1
5HP,1
RXL,1
RJX,1
5NG,1
RXR,1
5NH,1
RW5,1
RXN,1
00Q,1
00R,1
00X,1
01A,1
02M,1
01E,1
QE1,1
01K,1
02G,1
5NF,1
RTX,1
5HG,1
RMC,1
5HQ,1
5JX,1
RW3,1
RBV,1
RXV,1
5NQ,1
TAE,1
5NT,1
R0A,1
00T,1
00V,1
00W,1
QOP,1
01D,1
14L,1
01M,1
00Y,1
01G,1
01N,1
01W,1
01Y,1
02A,1
02H,1
RX7,1
RM3,1
5J5,1
RW6,1
RT2,1
5F5,1
RWJ,1
5F7,1
RMP,1
5LH,1
RM4,1
5NR,1
RM2,1
RRF,1
RBS,1
RY2,1
5NP,1
RXA,1
REN,1
RJR,1
RJN,1
5NM,1
5J4,1
RY1,1
RBQ,1
5NL,1
REM,1
REP,1
RW4,1
RBT,1
QYG,1
27D,1
01C,1
01F,1
01J,1
99A,1
01R,1
01T,1
01X,1
02D,1
02E,1
02F,1
12F,1
RTV,1
RQ6,1
5NJ,1
RVY,1
RBN,1
RET,1
RWW,1
5J2,1
5NN,1
RY7,1
5NK,1
RBL,1
RFF,1
5JE,1
RP5,1
5N5,1
02P,1
02X,1
03L,1
03N,1
QF7,1
RXE,1
RFR,1
5H8,1
RCU,1
TAH,1
5N4,1
RHQ,1
RLN,1
RXP,1
5ND,1
5NE,1
RX4,1
5J9,1
RR7,1
5KF,1
5D9,1
5KM,1
5D7,1
RTD,1
84H,1
00C,1
00D,1
00F,1
03D,1
00G,1
01H,1
00J,1
QHM,1
99C,1
00M,1
00P,1
16C,1
RNN,1
RNL,1
RX6,1
RVW,1
5D8,1
TAC,1
RTF,1
5QR,1
RTR,1
R0B,1
RE9,1
5KG,1
5.00E+01,1
5KL,1
RX3,1
5NW,1
RCD,1
5NX,1
RWA,1
RV9,1
02Y,1
03F,1
QOQ,1
03H,1
03K,1
42D,1
03M,1
03Q,1
TAN,1
5EF,1
5NV,1
RJL,1
RCC,1
RCB,1
RCF,1
5NY,1
TAD,1
RAE,1
RWY,1
5J6,1
5N2,1
RGD,1
RY6,1
5N1,1
RR8,1
RXF,1
02N,1
02W,1
36J,1
02R,1
02T,1
03A,1
03E,1
X2C4Y,1
15F,1
02V,1
03G,1
03C,1
03J,1
03R,1
QWO,1
RXG,1
5N3,1
RX8,1
